# ID,label,height,hw_ratio,height_var,root_density,cmass_density,2d_density,2d_hull_area,shape_index,compactness,linearity,sphericity
 126.00000,   1.00000,   1.33000,   0.46993,   0.07802,   0.08696,   0.07971,  34.45701,   8.00998,   0.71071,   0.57544,   0.06488,   0.17907
 127.00000,   1.00000,   1.33000,   0.34701,   0.06774,   0.07111,   0.01778,  30.63331,  14.68989,   0.94764,   0.45482,   0.40923,   0.04945
 128.00000,   1.00000,   1.38000,   0.52847,   0.08332,   0.02098,   0.06993,  20.97114,   6.81889,   0.64698,   0.47790,   0.66326,   0.02299
 129.00000,   1.00000,   1.48000,   0.45072,   0.10323,   0.15094,   0.00236,  39.32389,  10.78225,   0.78839,   0.62493,   0.50806,   0.05523
 130.00000,   1.00000,   1.23000,   0.41417,   0.05061,   0.07764,   0.06522,  36.50890,   8.81977,   0.73987,   0.55782,   0.46397,   0.05801
 131.00000,   1.00000,   1.30000,   0.41352,   0.06465,   0.20000,   0.04000,  35.41312,   9.88334,   0.77274,   0.57116,   0.61629,   0.02988
 132.00000,   1.00000,   1.15000,   0.38422,   0.09018,   0.41317,   0.05389,  37.28368,   8.95834,   0.73332,   0.66784,   0.52413,   0.05696
 133.00000,   1.00000,   1.51000,   0.45647,   0.08143,   0.03713,   0.02228,  36.91953,  10.94272,   0.80483,   0.50696,   0.25132,   0.09221
 134.00000,   1.00000,   1.31000,   0.41359,   0.08412,   0.08392,   0.04895,  28.50765,  10.03240,   0.77443,   0.60160,   0.29544,   0.05763
 135.00000,   1.00000,   1.66000,   0.50596,   0.08811,   0.01238,   0.00000,  37.53113,  10.76440,   0.80042,   0.45594,   0.55919,   0.06209
 136.00000,   1.00000,   1.22000,   0.40935,   0.06598,   0.32984,   0.03141,  21.50359,   8.88224,   0.72375,   0.46362,   0.57994,   0.03757
 137.00000,   1.00000,   1.03000,   0.38635,   0.06691,   0.39098,   0.09023,  18.71283,   7.10742,   0.65955,   0.53793,   0.69310,   0.04868
 138.00000,   1.00000,   1.19000,   0.47779,   0.08826,   0.68878,   0.04592,  31.59586,   6.20334,   0.57449,   0.47934,   0.67311,   0.09805
 139.00000,   1.00000,   1.48000,   0.50676,   0.09775,   0.03915,   0.05338,  32.94429,   8.52955,   0.72350,   0.51894,   0.40535,   0.04338
 140.00000,   1.00000,   1.31000,   0.43091,   0.08396,   0.16286,   0.05429,  37.87082,   9.24194,   0.75869,   0.56191,   0.52827,   0.04748
 141.00000,   1.00000,   0.98000,   0.36096,   0.06168,   0.37762,   0.06993,  19.39957,   7.37130,   0.66436,   0.43898,   0.68740,   0.03320
 142.00000,   1.00000,   1.26000,   0.44540,   0.06495,   0.05229,   0.07843,  19.11832,   8.00279,   0.66640,   0.47966,   0.63292,   0.04901
 143.00000,   1.00000,   1.85000,   0.62565,   0.17801,   0.04027,   0.06711,  34.08268,   8.74345,   0.72874,   0.42317,   0.15595,   0.04986
 144.00000,   1.00000,   1.38000,   0.44349,   0.04110,   0.01356,   0.08475,  30.46777,   9.68236,   0.77155,   0.46958,   0.03128,   0.07834
