# ID,label,height,hw_ratio,2d_density,sphericity
 299.00000,   2.00000,   1.59000,   0.31835,   6.81504,   0.00688
 300.00000,   3.00000,  10.82000,   2.33354,   7.72117,   0.01361
 301.00000,   3.00000,  12.57000,   5.24353,  32.01806,   0.36495
 302.00000,   3.00000,  11.12000,   4.01742,  14.74902,   0.10266
 303.00000,   3.00000,  10.50000,   2.92476,  13.34536,   0.15040
 304.00000,   3.00000,   4.44000,   1.26034,  13.05349,   0.06284
 305.00000,   3.00000,   7.06000,   3.07187,  19.49997,   0.01360
 306.00000,   3.00000,  10.46000,   1.87714,  12.59235,   0.15317
 307.00000,   3.00000,   6.94000,   1.30495,   4.56097,   0.03657
 308.00000,   3.00000,   4.52000,   1.28572,  18.77162,   0.01322
 309.00000,   3.00000,   6.75000,   2.40438,  41.49044,   0.26191
 310.00000,   3.00000,   8.55000,   2.29341,  29.21169,   0.05465
 311.00000,   3.00000,   8.60000,   4.02736,  27.41281,   0.00710
 312.00000,   3.00000,  11.23000,   3.71710,  13.80447,   0.04348
 313.00000,   3.00000,   5.94000,   1.34281,  17.22222,   0.01051
 314.00000,   3.00000,  10.92000,   9.52228,  80.60133,   0.01450
 315.00000,   3.00000,   9.80000,  10.37885, 125.62148,   0.00741
 316.00000,   3.00000,  12.56000,   2.77780,  14.96736,   0.01481
 317.00000,   3.00000,  10.29000,   2.38197,  11.94945,   0.03440
 318.00000,   3.00000,  11.23000,   5.48318,  39.33600,   0.00789
 319.00000,   3.00000,   8.86000,   1.09636,   2.77150,   0.05411
 320.00000,   3.00000,  11.96000,   7.80417,  63.44200,   0.01501
 321.00000,   3.00000,   8.70000,   2.43890,  21.06118,   0.00893
 322.00000,   3.00000,  10.18000,   3.07196,  17.30173,   0.43345
 323.00000,   3.00000,   9.32000,   3.24408,  12.23693,   0.04495
 324.00000,   3.00000,  13.32000,   7.62457,  63.56595,   0.06025
 325.00000,   3.00000,  11.11000,   3.14459,  10.81520,   0.02653
 326.00000,   3.00000,   8.14000,   2.03645,   8.13658,   0.10888
 327.00000,   3.00000,  12.74000,   2.61921,  12.34195,   0.04639
 328.00000,   3.00000,  11.16000,   4.86975,  23.22979,   0.04095
 329.00000,   3.00000,  12.50000,   5.93791,  42.87467,   0.01608
 330.00000,   3.00000,  13.00000,   2.52655,  16.24199,   0.04261
 331.00000,   3.00000,  10.69000,   9.59544,  94.26721,   0.01299
 332.00000,   3.00000,  11.62000,   3.96669,  25.28737,   0.01235
 333.00000,   3.00000,  10.89000,   1.78421,   4.75127,   0.03491
 334.00000,   3.00000,  11.25000,   4.77151,  24.10528,   0.02682
 335.00000,   3.00000,   8.71000,   1.65374,  10.99509,   0.05510
 336.00000,   3.00000,  12.38000,  10.70728,  85.27511,   0.00388
 337.00000,   3.00000,  11.82000,   8.08250,  57.51247,   0.01707
 338.00000,   3.00000,  12.57000,   3.66626,   9.95320,   0.03706
 339.00000,   3.00000,   9.95000,   1.60329,   4.15429,   0.07888
 340.00000,   3.00000,   8.34000,   5.98938,  60.85744,   0.03721
 341.00000,   3.00000,  12.65000,   7.84314,  74.57624,   0.03948
 342.00000,   3.00000,  11.93000,   4.50456,  18.53392,   0.04907
 343.00000,   3.00000,   8.98000,   4.03297,  35.29674,   0.01419
 344.00000,   3.00000,  10.76000,   5.68867,  41.36742,   0.02710
 345.00000,   3.00000,  12.53000,   2.36576,  14.11674,   0.07403
 346.00000,   3.00000,  12.43000,   4.11303,  18.06616,   0.19131
 347.00000,   3.00000,   8.76000,   2.35372,  23.10215,   0.01323
 348.00000,   3.00000,  10.72000,   9.60814,  96.39858,   0.00329
 349.00000,   3.00000,   3.23000,   2.15293,  57.31208,   0.05191
 350.00000,   3.00000,   7.85000,   3.70312,  27.59420,   0.00717
 351.00000,   3.00000,  10.59000,   2.72603,  26.10749,   0.00540
 352.00000,   3.00000,  12.60000,   2.83262,  18.14390,   0.01684
 353.00000,   3.00000,  12.48000,   7.31546,  79.71530,   0.06067
 354.00000,   3.00000,   4.60000,   1.28002,  22.45508,   0.00093
 355.00000,   3.00000,  12.81000,   3.13393,  20.40956,   0.03147
 356.00000,   3.00000,  10.37000,   2.34796,   7.58724,   0.08080
 357.00000,   3.00000,  10.81000,  11.03233, 121.86211,   0.01050
 358.00000,   3.00000,  12.91000,   6.33604,  55.64106,   0.05975
 359.00000,   3.00000,  10.43000,   2.53711,  19.17148,   0.23889
 360.00000,   3.00000,  10.88000,   2.21564,   8.75030,   0.06756
 361.00000,   3.00000,   6.59000,   1.44319,  31.55747,   0.40619
 362.00000,   3.00000,  12.43000,   2.14396,  15.41071,   0.07417
 363.00000,   3.00000,  11.71000,   5.09749,  22.36044,   0.00808
 364.00000,   3.00000,   8.48000,   2.00679,  24.80934,   0.01335
 365.00000,   3.00000,  12.78000,   6.87062,  44.50925,   0.02497
 366.00000,   3.00000,   8.34000,   3.66373,  23.92965,   0.00749
 367.00000,   3.00000,   4.43000,   2.35678,  57.17181,   0.14448
 368.00000,   3.00000,  12.40000,   2.62521,  12.23627,   0.11703
 369.00000,   3.00000,  10.73000,   7.99369,  74.37028,   0.04590
 370.00000,   3.00000,  12.55000,   3.66586,  18.34435,   0.18661
 371.00000,   3.00000,  15.05000,   2.66041,  12.90551,   0.35575
 372.00000,   3.00000,  16.01000,   5.37473,  16.56718,   0.14723
 373.00000,   3.00000,  15.68000,   6.39032,  27.90370,   0.84094
 374.00000,   3.00000,   5.28000,   2.08293,  21.63195,   0.02649
 375.00000,   3.00000,  12.57000,   3.52918,  14.74069,   0.26414
 376.00000,   3.00000,  13.87000,   3.07053,   7.89043,   0.04186
 377.00000,   3.00000,  20.25000,   7.95265,  28.22443,   0.44698
 378.00000,   3.00000,  11.48000,   4.50004,  34.87982,   0.23276
 379.00000,   3.00000,   2.15000,   0.76218,  13.06996,   0.20287
 380.00000,   3.00000,  12.87000,   4.80783,  27.07340,   0.21407
 381.00000,   3.00000,  13.25000,   4.62489,  21.07745,   0.47428
 382.00000,   3.00000,  10.85000,   2.12303,   5.55162,   0.10663
 383.00000,   3.00000,  15.03000,   5.75475,  31.66572,   0.24675
 384.00000,   3.00000,  17.61000,   5.34120,  23.18245,   0.24079
